collection,id,lang,xml_url,xml_file
AM,AM02-0001-e-alpha,da,https://handrit.is/en/manuscript/xml/AM02-0001-e-alpha-da.xml,AM02-0001-e-alpha-da.xml
AM,AM02-0001-d-beta,en,https://handrit.is/en/manuscript/xml/AM02-0001-d-beta-en.xml,AM02-0001-d-beta-en.xml
AM,AM02-0001-e-beta-I,en,https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-I-en.xml,AM02-0001-e-beta-I-en.xml
AM,AM02-0001-c,da,https://handrit.is/en/manuscript/xml/AM02-0001-c-da.xml,AM02-0001-c-da.xml
AM,AM02-0001-d-beta,da,https://handrit.is/en/manuscript/xml/AM02-0001-d-beta-da.xml,AM02-0001-d-beta-da.xml
AM,AM02-0001-b,da,https://handrit.is/en/manuscript/xml/AM02-0001-b-da.xml,AM02-0001-b-da.xml
AM,AM02-0001-a,en,https://handrit.is/en/manuscript/xml/AM02-0001-a-en.xml,AM02-0001-a-en.xml
AM,AM02-0001-d-alpha,en,https://handrit.is/en/manuscript/xml/AM02-0001-d-alpha-en.xml,AM02-0001-d-alpha-en.xml
AM,AM02-0001-a,da,https://handrit.is/en/manuscript/xml/AM02-0001-a-da.xml,AM02-0001-a-da.xml
AM,AM02-0001-b,en,https://handrit.is/en/manuscript/xml/AM02-0001-b-en.xml,AM02-0001-b-en.xml
AM,AM02-0001-e-beta-I,da,https://handrit.is/en/manuscript/xml/AM02-0001-e-beta-I-da.xml,AM02-0001-e-beta-I-da.xml
AM,AM02-0001-d-alpha,da,https://handrit.is/en/manuscript/xml/AM02-0001-d-alpha-da.xml,AM02-0001-d-alpha-da.xml
AM,AM02-0001-c,en,https://handrit.is/en/manuscript/xml/AM02-0001-c-en.xml,AM02-0001-c-en.xml
AM,AM02-0001-e-alpha,en,https://handrit.is/en/manuscript/xml/AM02-0001-e-alpha-en.xml,AM02-0001-e-alpha-en.xml
