,AM02-0411,AM02-0113c,AM02-0110,AM08-0254,JS02-0018,AM04-0364,AM04-0366,AM04-0365,AM02-0113f,AM04-0369,AM04-0371,Lbs04-0439,JS04-0141,AM02-0113k,GKS04-2866,AM02-0113d,AM02-0113h,AM02-0113i,AM04-0445b,AM04-0367,Lbs04-0145,AM02-0107,AM02-0108,Lbs02-0748,AM04-0368,AM02-0109,AM02-0113a,AM02-0113e,NKS04-1671a-V,JS02-0017,JS02-0015,AM02-0104,AM02-0105,JS04-0538,AM02-0111
0,Íslendingabók,Íslendingabók,Landnámabók ,Maríu saga,Landnámabók,Um Íslendingabók,Íslendingabók,Íslendingabók,Íslendingabók,Unfinished Edition of Íslendingabók,Landnámabók,Íslendingabók,Ættartölur,Íslendingabók,Íslendingabók,Íslendingabók,Íslendingabók,Íslendingabók,Landnámabók,,Vita Sæmundi multiscii vulgo fróða,Landnámabók,Landnámabók,Landnámabók,,,Íslendingabók,Íslendingabók,Landnámabók,Landnámabók,Íslendingabók,"Skarðsárbók. Landnámabók Björns Jónssonar á
								Skarðsá",Landnámabók,Athuganir Árna Magnússonar o.fl. um Ara fróða og Íslendingabók,Landnámabók
1,,,,,,,,,,,Kristni saga,,Ættartölur,,,,,,Vatnsdæla saga,,Aræ multiscii librum Islandorum.,,Kristni sögu,Ölkofra þáttur,,,,,Kristni sögu,,Landnámabók,Kristni sögu,Kristni saga,,
2,,,,,,,,,,,,,,,,,,,Flóamanna saga,,,,,Bandamanna saga,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,Eyrbyggja saga,,,,,Bárðar saga Snæfellsáss,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,Bárðar saga Snæfellsáss,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,Gunnars þáttur Þiðrandabana,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,Finnboga saga ramma,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,Sneglu-Halla þáttur,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,Harðar saga,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,Víglundar saga,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,Kjalnesinga saga,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,Jökuls þáttur Búasonar,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,Ljósvetninga saga,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,Þórarins þáttur ofsa,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,Vatnsdæla saga,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,Flóamanna saga,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,Heiðarvíga saga,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,Heiðarvíga saga,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,Þórarins þáttur Nefjólfssonar,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,Steins þáttur Skaptasonar,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,Þórodds þáttur Snorrasonar,,,,,,,,,,,
